Delta Time, Position, Velocity, Acceleration, Jerk, 
20, 4.280934, 2.027331, -2.957883, 0.000000, 
20, 4.320298, 1.968173, -2.957883, -0.000000, 
20, 4.358478, 1.909015, -2.957883, 0.000000, 
20, 4.395475, 1.849858, -2.957883, 0.000000, 
20, 4.431289, 1.790700, -2.957883, -0.000000, 
20, 4.465920, 1.731542, -2.957883, 0.000000, 
20, 4.499368, 1.672385, -2.957883, -0.000000, 
20, 4.531632, 1.613227, -2.957883, 0.000000, 
20, 4.562714, 1.554069, -2.957883, -0.000000, 
20, 4.592612, 1.494912, -2.957883, -0.000000, 
20, 4.621327, 1.435754, -2.957883, -0.000000, 
20, 4.648859, 1.376597, -2.957883, 0.000000, 
20, 4.675208, 1.317439, -2.957883, 0.000000, 
20, 4.700373, 1.258281, -2.957883, 0.000000, 
20, 4.724356, 1.199124, -2.957883, 0.000000, 
20, 4.747155, 1.139966, -2.957883, 0.000000, 
20, 4.768771, 1.080808, -2.957883, -0.000000, 
20, 4.789204, 1.021651, -2.957883, 0.000000, 
20, 4.808454, 0.962493, -2.957883, -0.000000, 
20, 4.826521, 0.903335, -2.957883, 0.000000, 
20, 4.843419, 0.844897, -2.921893, 1.799464, 
20, 4.859182, 0.788165, -2.836606, 4.264366, 
20, 4.873850, 0.733405, -2.738010, 4.929804, 
20, 4.887463, 0.680617, -2.639414, 4.929804, 
20, 4.900059, 0.629800, -2.540818, 4.929804, 
20, 4.911678, 0.580956, -2.442222, 4.929804, 
20, 4.922359, 0.534084, -2.343626, 4.929804, 
20, 4.932143, 0.489183, -2.245030, 4.929804, 
20, 4.941068, 0.446254, -2.146433, 4.929804, 
20, 4.949174, 0.405298, -2.047837, 4.929804, 
20, 4.956500, 0.366313, -1.949241, 4.929804, 
20, 4.963086, 0.329300, -1.850645, 4.929804, 
20, 4.968972, 0.294259, -1.752049, 4.929804, 
20, 4.974195, 0.261190, -1.653453, 4.929804, 
20, 4.978797, 0.230093, -1.554857, 4.929804, 
20, 4.982817, 0.200967, -1.456261, 4.929804, 
20, 4.986293, 0.173814, -1.357665, 4.929804, 
20, 4.989265, 0.148633, -1.259069, 4.929804, 
20, 4.991774, 0.125423, -1.160473, 4.929804, 
20, 4.993858, 0.104186, -1.061876, 4.929804, 
20, 4.995556, 0.084920, -0.963280, 4.929804, 
20, 4.996909, 0.067626, -0.864684, 4.929804, 
20, 4.997955, 0.052305, -0.766088, 4.929804, 
20, 4.998734, 0.038955, -0.667492, 4.929804, 
20, 4.999285, 0.027577, -0.568896, 4.929804, 
20, 4.999649, 0.018171, -0.470300, 4.929804, 
20, 4.999863, 0.010737, -0.371704, 4.929804, 
20, 4.999969, 0.005275, -0.273108, 4.929804, 
20, 5.000005, 0.001784, -0.174512, 4.929804, 
20, 5.000010, 0.000266, -0.075916, 4.929804, 
20, 5.000010, 0.000000, -0.013309, 3.130341, 
