dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.506347,0.367551,0.507406,0.738969,0.527104,-0.048105,0.102357
0.020000,0.521256,0.369109,0.522396,0.749489,0.526002,-0.055072,0.105879
0.020000,0.536367,0.370743,0.537595,0.759985,0.524760,-0.062110,0.109484
0.020000,0.551681,0.372455,0.553005,0.770452,0.523376,-0.069210,0.113174
0.020000,0.567196,0.374248,0.568622,0.780889,0.521849,-0.076364,0.116949
0.020000,0.582910,0.376125,0.584448,0.791293,0.520177,-0.083564,0.120813
0.020000,0.598822,0.378088,0.600481,0.801660,0.518361,-0.090799,0.124767
0.020000,0.614932,0.380142,0.616721,0.811988,0.516400,-0.098061,0.128812
0.020000,0.631236,0.382288,0.633167,0.822274,0.514293,-0.105336,0.132951
0.020000,0.647737,0.384530,0.649818,0.832588,0.515702,0.070430,0.137186
0.020000,0.664429,0.386871,0.666674,0.842802,0.510684,-0.250880,0.141518
0.020000,0.681309,0.389314,0.683730,0.852765,0.498150,-0.626730,0.145949
0.020000,0.698365,0.391861,0.700975,0.862265,0.475012,-1.156907,0.150478
0.020000,0.715587,0.394513,0.718400,0.871237,0.448610,-1.320104,0.155105
0.020000,0.732964,0.397272,0.735995,0.879740,0.425136,-1.173686,0.159829
0.020000,0.750486,0.400140,0.753750,0.887765,0.401271,-1.193223,0.164651
0.020000,0.768142,0.403118,0.771655,0.895264,0.374938,-1.316670,0.169570
0.020000,0.785921,0.406208,0.789701,0.902300,0.351812,-1.156299,0.174585
0.020000,0.803814,0.409411,0.807879,0.908875,0.328731,-1.154075,0.179695
0.020000,0.821810,0.412728,0.826177,0.914929,0.302713,-1.300872,0.184901
0.020000,0.839897,0.416161,0.844587,0.920505,0.278784,-1.196466,0.190200
0.020000,0.858066,0.419710,0.863099,0.925602,0.254851,-1.196632,0.195593
0.020000,0.876305,0.423375,0.881704,0.930220,0.230929,-1.196093,0.201079
0.020000,0.894606,0.427158,0.900391,0.934361,0.207032,-1.194864,0.206655
0.020000,0.912956,0.431060,0.919151,0.938024,0.183173,-1.192962,0.212322
0.020000,0.931346,0.435079,0.937976,0.941212,0.159365,-1.190404,0.218079
0.020000,0.949765,0.439218,0.956854,0.943924,0.135621,-1.187211,0.223923
0.020000,0.968204,0.443474,0.975777,0.946163,0.111952,-1.183408,0.229853
0.020000,0.986651,0.447849,0.994736,0.947931,0.088372,-1.179018,0.235868
0.020000,1.005096,0.452342,1.013721,0.949228,0.064891,-1.174071,0.241966
0.020000,1.023530,0.456952,1.032722,0.950088,0.043001,-1.094477,0.248146
0.020000,1.041942,0.461678,1.051732,0.950468,0.018965,-1.201789,0.254405
0.020000,1.060323,0.466520,1.070739,0.950374,-0.004710,-1.183748,0.260741
0.020000,1.078661,0.471476,1.089736,0.949819,-0.027723,-1.150664,0.267152
0.020000,1.096949,0.476544,1.108712,0.948838,-0.049058,-1.066765,0.273635
0.020000,1.115179,0.481726,1.127665,0.947617,-0.061024,-0.598296,0.280191
0.020000,1.133351,0.487020,1.146592,0.946364,-0.062653,-0.081440,0.286818
0.020000,1.151463,0.492428,1.165494,0.945119,-0.062250,0.020163,0.293518
0.020000,1.169515,0.497951,1.184372,0.943891,-0.061408,0.042098,0.300291
0.020000,1.187504,0.503589,1.203224,0.942612,-0.063955,-0.127375,0.307137
0.020000,1.205431,0.509343,1.222052,0.941355,-0.062856,0.054954,0.314057
0.020000,1.223293,0.515213,1.240853,0.940097,-0.062913,-0.002858,0.321051
0.020000,1.241088,0.521201,1.259629,0.938796,-0.065030,-0.105832,0.328119
